title,description,datePublished,citation,keywords,license,funder,geographicDescription,northBoundCoord,eastBoundCoord,southBoundCoord,westBoundCoord,wktString,startDate,endDate
Woody plant vegetation structure,"Structure measurements, including height, canopy diameter, and stem diameter, as well as mapped position of individual woody plants",01/05/2020,"National Ecological Observatory Network. 2020. Data Product DP1.10098.001, Woody plant vegetation structure. Provisional data downloaded from http://data.neonscience.org on May 1, 2020. Battelle, Boulder, CO, USA NEON. 2020.","plant productivity",CC-0,NA,"""D01"" ""D02"" ""D03"" ""D04"" ""D07"" ""D08"" ""D09""",47.16582,-66.82463,17.95570,-99.11107,NA,NA,NA
NA,NA,NA,NA,"production",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"carbon cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"biomass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"vegetation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"productivity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"shrubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"lianas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"saplings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"net primary productivity (NPP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"annual net primary productivity (ANPP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"woody plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"vegetation structure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"tree height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"canopy height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"material samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,archived samples,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
